epoch,elbo,nll,kl,prior_mean,prior_std
301,[16482.764],7443.1904,[9039.579],-0.001334065,0.050135924
,,,,,
302,[16447.477],7413.4766,[9034.],-0.001318741,0.050130493
,,,,,
303,[16262.971],7220.761,[9042.202],-0.001259432,0.050141458
,,,,,
304,[16339.351],7307.3564,[9032.003],-0.0013534,0.050111332
,,,,,
305,[16271.652],7232.1543,[9039.482],-0.001346542,0.050108184
,,,,,
306,[16470.092],7430.9697,[9039.116],-0.001280972,0.050117355
,,,,,
307,[16321.91],7292.3535,[9029.552],-0.001362567,0.050098294
,,,,,
308,[16304.979],7280.9927,[9023.979],-0.001342317,0.050101029
,,,,,
309,[16248.039],7200.637,[9047.404],-0.001372167,0.050086489
,,,,,
310,[16311.462],7270.3213,[9041.142],-0.00135308,0.050093383
,,,,,
311,[16361.793],7318.797,[9042.985],-0.001348382,0.050078856
,,,,,
312,[16252.386],7214.941,[9037.4375],-0.001371433,0.050069821
,,,,,
313,[16235.713],7189.981,[9045.715],-0.001381327,0.050067192
,,,,,
314,[16342.992],7314.1636,[9028.832],-0.001402231,0.050061099
,,,,,
315,[16151.41],7118.498,[9032.902],-0.001381529,0.050052433
,,,,,
316,[16334.141],7302.5645,[9031.571],-0.001356731,0.050047896
,,,,,
317,[16297.8125],7273.458,[9024.341],-0.001292645,0.050052094
,,,,,
318,[16417.812],7370.267,[9047.548],-0.001348074,0.050038005
,,,,,
319,[16367.02],7315.4424,[9051.579],-0.001414331,0.050018313
,,,,,
320,[16298.7],7248.581,[9050.109],-0.001327584,0.05003042
,,,,,
321,[16317.635],7272.189,[9045.448],-0.001415068,0.049997964
,,,,,
322,[16225.781],7197.5938,[9028.19],-0.001421947,0.049982982
,,,,,
323,[16325.832],7280.3276,[9045.498],-0.001374409,0.049996788
,,,,,
324,[16326.724],7279.4897,[9047.226],-0.001407149,0.049972411
,,,,,
325,[16205.784],7162.2,[9043.583],-0.001396107,0.049974516
,,,,,
326,[16214.721],7175.562,[9039.16],-0.001371097,0.049964385
,,,,,
327,[16247.951],7224.546,[9023.402],-0.001290958,0.049983172
,,,,,
328,[16445.293],7392.7725,[9052.527],-0.001258969,0.049984247
,,,,,
329,[16171.988],7132.88,[9039.121],-0.001363434,0.049951495
,,,,,
330,[16204.981],7166.5405,[9038.45],-0.001413211,0.049926315
,,,,,
331,[16253.182],7208.7646,[9044.416],-0.001366554,0.049944787
,,,,,
332,[16277.032],7232.1763,[9044.86],-0.001392722,0.049903322
,,,,,
333,[16152.237],7134.387,[9017.856],-0.001371358,0.049911088
,,,,,
334,[16282.306],7259.3574,[9022.95],-0.001363334,0.049896079
,,,,,
335,[16300.494],7265.963,[9034.54],-0.001351158,0.049914547
,,,,,
336,[16335.405],7289.9814,[9045.414],-0.001337752,0.049898243
,,,,,
337,[16376.639],7314.4937,[9062.151],-0.00138322,0.049894502
,,,,,
338,[16199.677],7161.0957,[9038.556],-0.001421413,0.049872472
,,,,,
339,[16140.35],7111.933,[9028.426],-0.001532123,0.049845388
,,,,,
340,[16171.969],7143.846,[9028.114],-0.001440147,0.04985227
,,,,,
341,[16162.89],7145.2188,[9017.685],-0.001553966,0.049814325
,,,,,
342,[16231.048],7219.639,[9011.394],-0.001435118,0.049838028
,,,,,
343,[16182.659],7170.31,[9012.34],-0.001432538,0.049831444
,,,,,
344,[16190.347],7166.391,[9023.959],-0.001376012,0.049830949
,,,,,
345,[16089.528],7066.0776,[9023.44],-0.001363708,0.049819706
,,,,,
346,[16172.4375],7165.664,[9006.776],-0.001371062,0.049802589
,,,,,
347,[16195.584],7182.893,[9012.697],-0.001302524,0.049799961
,,,,,
348,[16128.976],7110.4053,[9018.584],-0.001391257,0.049783752
,,,,,
349,[16054.6045],7044.232,[9010.391],-0.001452541,0.049752644
,,,,,
350,[16167.243],7143.5396,[9023.711],-0.001364388,0.049755478
,,,,,
351,[16289.196],7258.15,[9031.031],-0.00139058,0.049747249
,,,,,
352,[16257.24],7214.979,[9042.2705],-0.001407643,0.049732329
,,,,,
353,[16153.037],7136.5605,[9016.485],-0.001497336,0.049707125
,,,,,
354,[16100.272],7077.1953,[9023.078],-0.00154143,0.049703
,,,,,
355,[16149.922],7131.2637,[9018.665],-0.001514238,0.049694359
,,,,,
356,[16140.043],7106.6245,[9033.413],-0.001403544,0.049694063
,,,,,
357,[15989.611],6970.639,[9018.977],-0.00137959,0.049705972
,,,,,
358,[16274.362],7253.7256,[9020.648],-0.001423461,0.049687907
,,,,,
359,[16148.18],7131.6743,[9016.509],-0.001343189,0.049683274
,,,,,
360,[16182.982],7164.943,[9018.042],-0.001401927,0.049669298
,,,,,
361,[16124.683],7106.5254,[9018.161],-0.001409399,0.049659936
,,,,,
362,[16167.102],7159.476,[9007.624],-0.001418462,0.049658122
,,,,,
