elbo accuracy variance lengthscale
-2.9389e+04 97.6900 0.6687 8.8928
-2.7257e+04 97.6900 0.6687 8.8932
-2.8076e+04 97.6900 0.6688 8.8937
-2.9336e+04 97.7000 0.6694 8.8935
-2.8644e+04 97.7200 0.6695 8.8938
-2.2914e+04 97.6800 0.6694 8.8944
-2.1074e+04 97.6800 0.6700 8.8942
-3.0082e+04 97.7300 0.6702 8.8944
-2.0449e+04 97.7000 0.6701 8.8953
-1.5876e+04 97.6900 0.6706 8.8949
-2.6145e+04 97.7200 0.6709 8.8950
-2.2664e+04 97.6900 0.6707 8.8960
-2.4643e+04 97.6900 0.6712 8.8957
-2.2125e+04 97.7000 0.6715 8.8957
-2.4407e+04 97.7000 0.6713 8.8967
-2.8427e+04 97.6900 0.6719 8.8963
-2.5985e+04 97.7000 0.6722 8.8965
-2.8443e+04 97.6900 0.6719 8.8976
-1.5679e+04 97.7000 0.6725 8.8971
-2.1671e+04 97.7000 0.6728 8.8971
-2.0098e+04 97.7000 0.6725 8.8984
-1.7387e+04 97.7100 0.6731 8.8977
-2.1539e+04 97.7100 0.6735 8.8978
-2.4470e+04 97.6800 0.6731 8.8991
-1.7947e+04 97.7100 0.6738 8.8983
-2.9683e+04 97.7100 0.6741 8.8985
-2.3386e+04 97.6800 0.6738 8.8997
-2.9532e+04 97.7000 0.6744 8.8990
-2.0683e+04 97.7000 0.6747 8.8992
-2.4534e+04 97.6600 0.6745 8.9004
-2.3344e+04 97.7000 0.6751 8.8997
-2.2596e+04 97.7100 0.6753 8.9000
-2.3874e+04 97.6700 0.6751 8.9011
-2.7922e+04 97.7000 0.6757 8.9004
-2.7270e+04 97.7000 0.6759 8.9006
-1.7459e+04 97.6700 0.6758 8.9016
-2.1992e+04 97.7200 0.6763 8.9010
-1.8904e+04 97.7000 0.6765 8.9013
-2.4914e+04 97.6600 0.6764 8.9022
-2.2220e+04 97.7200 0.6769 8.9017
-2.2774e+04 97.7100 0.6771 8.9019
-1.8402e+04 97.6900 0.6771 8.9028
-2.1439e+04 97.7100 0.6774 8.9025
-2.1600e+04 97.6900 0.6777 8.9027
-1.8138e+04 97.6800 0.6777 8.9034
-3.1447e+04 97.7000 0.6781 8.9031
-2.3400e+04 97.7100 0.6783 8.9033
-2.3096e+04 97.7000 0.6784 8.9038
-2.2711e+04 97.7100 0.6787 8.9035
-2.3281e+04 97.6800 0.6788 8.9040
-2.5374e+04 97.6900 0.6790 8.9044
-2.4113e+04 97.7100 0.6794 8.9040
-2.8649e+04 97.7100 0.6794 8.9046
-2.0265e+04 97.7000 0.6797 8.9049
-2.1010e+04 97.7000 0.6800 8.9045
-2.2854e+04 97.7100 0.6800 8.9052
-2.1933e+04 97.7000 0.6803 8.9054
-2.4952e+04 97.7000 0.6806 8.9050
-2.2328e+04 97.7100 0.6806 8.9057
