epoch,elbo,nll,kl,prior_std
30300,[5161.1094],29.904247,[5131.205],tensor(0.0500)
30400,[5175.769],45.959484,[5129.8096],tensor(0.0500)
30500,[5141.459],13.149317,[5128.3096],tensor(0.0500)
30600,[5151.6777],24.768623,[5126.909],tensor(0.0500)
30700,[5163.5396],38.094315,[5125.4453],tensor(0.0500)
30800,[5140.7344],16.661646,[5124.0728],tensor(0.0500)
30900,[5180.3447],57.52144,[5122.823],tensor(0.0500)
31000,[5172.8115],51.308754,[5121.503],tensor(0.0500)
31100,[5189.9727],69.816795,[5120.156],tensor(0.0500)
31200,[5159.449],40.537567,[5118.9116],tensor(0.0500)
31300,[5163.0796],45.33752,[5117.742],tensor(0.0500)
31400,[5128.4536],11.83861,[5116.615],tensor(0.0500)
31500,[5144.716],29.21321,[5115.502],tensor(0.0500)
31600,[5170.6826],56.394135,[5114.2886],tensor(0.0500)
31700,[5128.787],15.7132225,[5113.074],tensor(0.0500)
31800,[5188.4316],76.44981,[5111.9814],tensor(0.0500)
31900,[5225.2593],114.42975,[5110.8296],tensor(0.0500)
32000,[5137.1494],27.485556,[5109.664],tensor(0.0500)
32100,[5123.0425],14.423521,[5108.619],tensor(0.0500)
32200,[5149.765],42.34394,[5107.421],tensor(0.0500)
32300,[5161.987],55.63684,[5106.35],tensor(0.0500)
32400,[5119.198],13.932892,[5105.265],tensor(0.0500)
32500,[5125.9097],21.652279,[5104.258],tensor(0.0500)
32600,[5165.7637],62.485176,[5103.2783],tensor(0.0500)
32700,[5159.369],57.18577,[5102.1836],tensor(0.0500)
32800,[5130.2783],29.020864,[5101.257],tensor(0.0500)
32900,[5129.7324],29.474762,[5100.258],tensor(0.0500)
33000,[5141.7666],42.586803,[5099.1797],tensor(0.0500)
33100,[5120.0312],21.860867,[5098.1704],tensor(0.0500)
33200,[5209.448],112.14462,[5097.3037],tensor(0.0500)
33300,[5130.12],33.82141,[5096.2983],tensor(0.0500)
33400,[5131.8496],36.528534,[5095.3213],tensor(0.0500)
33500,[5121.7524],27.41844,[5094.334],tensor(0.0500)
33600,[5121.838],28.467438,[5093.37],tensor(0.0500)
33700,[5107.191],14.810953,[5092.38],tensor(0.0500)
33800,[5111.9565],20.424398,[5091.532],tensor(0.0500)
33900,[5138.3086],47.74572,[5090.5625],tensor(0.0500)
34000,[5104.7085],15.059807,[5089.6484],tensor(0.0500)
34100,[5110.042],21.34105,[5088.701],tensor(0.0500)
34200,[5161.4937],73.69101,[5087.8027],tensor(0.0500)
34300,[5120.6772],33.74594,[5086.9316],tensor(0.0500)
34400,[5112.9473],26.781254,[5086.166],tensor(0.0500)
34500,[5135.6816],50.39631,[5085.285],tensor(0.0500)
34600,[5129.455],44.939194,[5084.5156],tensor(0.0500)
34700,[5103.6567],19.922783,[5083.734],tensor(0.0500)
34800,[5140.7207],57.84442,[5082.876],tensor(0.0500)
34900,[5101.8887],19.874725,[5082.0137],tensor(0.0500)
35000,[5103.0166],21.932861,[5081.084],tensor(0.0500)
35100,[5125.33],45.089485,[5080.2407],tensor(0.0500)
35200,[5122.878],43.380096,[5079.498],tensor(0.0500)
35300,[5101.596],22.83335,[5078.7627],tensor(0.0500)
35400,[5114.1475],36.22044,[5077.927],tensor(0.0500)
35500,[5103.9785],26.833263,[5077.145],tensor(0.0500)
35600,[5120.532],44.184578,[5076.3477],tensor(0.0500)
35700,[5106.835],31.220642,[5075.6143],tensor(0.0500)
35800,[5130.1016],55.217266,[5074.8843],tensor(0.0500)
35900,[5106.9517],32.82989,[5074.1216],tensor(0.0500)
36000,[5156.484],83.17612,[5073.3076],tensor(0.0500)
36100,[5159.9395],87.420715,[5072.5186],tensor(0.0500)
36200,[5102.711],30.983734,[5071.7275],tensor(0.0500)
36300,[5115.7305],44.65892,[5071.072],tensor(0.0500)
36400,[5116.5215],46.078564,[5070.4424],tensor(0.0500)
36500,[5084.8384],15.207795,[5069.631],tensor(0.0500)
36600,[5091.8394],22.926975,[5068.912],tensor(0.0500)
36700,[5111.3916],43.0241,[5068.367],tensor(0.0500)
36800,[5106.81],39.21638,[5067.5938],tensor(0.0500)
36900,[5096.772],29.81714,[5066.955],tensor(0.0500)
37000,[5098.4014],32.141655,[5066.26],tensor(0.0500)
37100,[5109.1943],43.650734,[5065.544],tensor(0.0500)
37200,[5097.0703],32.27953,[5064.7905],tensor(0.0500)
37300,[5090.7373],26.664364,[5064.073],tensor(0.0500)
37400,[5129.3887],66.09518,[5063.293],tensor(0.0500)
37500,[5096.586],33.850395,[5062.7354],tensor(0.0500)
37600,[5086.577],24.523636,[5062.0537],tensor(0.0500)
37700,[5129.112],67.727844,[5061.384],tensor(0.0500)
37800,[5168.052],107.36427,[5060.6875],tensor(0.0500)
37900,[5094.955],34.758858,[5060.1963],tensor(0.0500)
38000,[5072.2495],12.751307,[5059.498],tensor(0.0500)
38100,[5092.504],33.711857,[5058.792],tensor(0.0500)
38200,[5091.9883],33.65961,[5058.3286],tensor(0.0500)
38300,[5084.49],26.69485,[5057.7954],tensor(0.0500)
38400,[5095.8877],38.78029,[5057.1074],tensor(0.0500)
38500,[5085.9014],29.468021,[5056.4336],tensor(0.0500)
38600,[5092.242],36.457787,[5055.784],tensor(0.0500)
38700,[5110.169],54.99611,[5055.173],tensor(0.0500)
38800,[5096.8164],42.255314,[5054.5615],tensor(0.0500)
38900,[5072.827],18.807867,[5054.0195],tensor(0.0500)
39000,[5117.523],64.07158,[5053.451],tensor(0.0500)
39100,[5098.1934],45.167976,[5053.0254],tensor(0.0500)
39200,[5068.291],15.757884,[5052.533],tensor(0.0500)
39300,[5068.209],16.163097,[5052.046],tensor(0.0500)
39400,[5095.8574],44.24695,[5051.6104],tensor(0.0500)
39500,[5068.4795],17.424314,[5051.0557],tensor(0.0500)
39600,[5080.755],30.216152,[5050.539],tensor(0.0500)
39700,[5083.221],33.18885,[5050.032],tensor(0.0500)
39800,[5084.449],34.94843,[5049.501],tensor(0.0500)
39900,[5076.6816],27.621082,[5049.0605],tensor(0.0500)
40000,[5089.0127],40.44465,[5048.568],tensor(0.0500)
40100,[5078.2324],30.154663,[5048.078],tensor(0.0500)
40200,[5106.078],58.51891,[5047.5596],tensor(0.0500)
40300,[5078.533],31.477594,[5047.0557],tensor(0.0500)
40400,[5065.755],19.205976,[5046.549],tensor(0.0500)
40500,[5080.305],34.24903,[5046.056],tensor(0.0500)
40600,[5081.8223],36.186974,[5045.6353],tensor(0.0500)
40700,[5081.917],36.778233,[5045.1387],tensor(0.0500)
40800,[5072.508],27.859283,[5044.6484],tensor(0.0500)
40900,[5065.84],21.74002,[5044.0996],tensor(0.0500)
41000,[5069.544],25.97715,[5043.5664],tensor(0.0500)
41100,[5068.741],25.608564,[5043.133],tensor(0.0500)
41200,[5074.0684],31.329773,[5042.7383],tensor(0.0500)
41300,[5116.8643],74.42658,[5042.4375],tensor(0.0500)
41400,[5065.7896],23.77832,[5042.011],tensor(0.0500)
41500,[5062.367],20.698719,[5041.669],tensor(0.0500)
41600,[5116.8906],75.56423,[5041.326],tensor(0.0500)
41700,[5107.5654],66.61497,[5040.9507],tensor(0.0500)
41800,[5078.5254],37.89591,[5040.63],tensor(0.0500)
41900,[5052.289],11.974508,[5040.3145],tensor(0.0500)
42000,[5066.997],27.098238,[5039.8984],tensor(0.0500)
42100,[5087.9297],48.39418,[5039.535],tensor(0.0500)
42200,[5075.7227],36.654617,[5039.0674],tensor(0.0500)
42300,[5063.789],25.198605,[5038.591],tensor(0.0500)
42400,[5077.6724],39.43321,[5038.2393],tensor(0.0500)
42500,[5067.394],29.604954,[5037.789],tensor(0.0500)
42600,[5075.8037],38.433563,[5037.37],tensor(0.0500)
42700,[5083.884],46.92452,[5036.959],tensor(0.0500)
42800,[5054.2646],17.804457,[5036.46],tensor(0.0500)
42900,[5081.404],45.361843,[5036.042],tensor(0.0500)
43000,[5099.581],64.09243,[5035.4893],tensor(0.0500)
43100,[5071.3076],36.277523,[5035.03],tensor(0.0500)
43200,[5055.125],20.580647,[5034.544],tensor(0.0500)
43300,[5088.952],54.83594,[5034.116],tensor(0.0500)
43400,[5090.5767],56.829388,[5033.747],tensor(0.0500)
43500,[5214.3643],180.88577,[5033.4785],tensor(0.0500)
43600,[5119.7534],86.71974,[5033.0337],tensor(0.0500)
43700,[5061.2686],28.731968,[5032.537],tensor(0.0500)
43800,[5063.5215],31.462654,[5032.059],tensor(0.0500)
43900,[5067.4473],35.794205,[5031.6533],tensor(0.0500)
44000,[5050.286],19.014975,[5031.271],tensor(0.0500)
44100,[5081.283],50.39853,[5030.8843],tensor(0.0500)
