epoch,elbo,nll,kl,prior_std
221,[6829.6685],826.8131,[6002.8555],0.0050223996,0.05201555071237196
222,[6880.8125],888.0488,[5992.7637],0.0050223996,0.05202439740805287
223,[6784.561],801.87756,[5982.6836],0.0050223996,0.052033241791013346
224,[6819.46],846.8351,[5972.6245],0.0050223996,0.05204208386391229
225,[6753.964],791.3718,[5962.5923],0.0050223996,0.05205092362985611
226,[6806.5034],853.95105,[5952.5527],0.0050223996,0.05205976109121628
227,[6793.8896],851.3346,[5942.5547],0.0050223996,0.05206859625066328
228,[6797.5825],864.9663,[5932.616],0.0050223996,0.052077429110523196
229,[6769.105],846.396,[5922.709],0.0050223996,0.052086259673359434
230,[6752.1387],839.32275,[5912.8154],0.0050223996,0.05209508794160567
231,[6724.962],822.0187,[5902.9434],0.0050223996,0.052103913917512526
232,[6730.026],836.95325,[5893.0723],0.0050223996,0.05211273760339643
233,[6719.99],836.74774,[5883.242],0.0050223996,0.05212155900227837
234,[6730.735],857.2822,[5873.4526],0.0050223996,0.05213037811734701
235,[6690.3926],826.7345,[5863.6577],0.0050223996,0.05213919495068963
236,[6697.6016],843.72375,[5853.8774],0.0050223996,0.05214800950418183
237,[6672.343],828.2175,[5844.1255],0.0050223996,0.052156821779533874
238,[6703.0005],868.58386,[5834.417],0.0050223996,0.0521656317790244
239,[6648.6016],823.8459,[5824.756],0.0050223996,0.05217443950526881
240,[6650.876],835.73804,[5815.1377],0.0050223996,0.05218324496109422
241,[6653.633],848.09216,[5805.541],0.0050223996,0.05219204814923429
242,[6649.07],853.07886,[5795.991],0.0050223996,0.052200849072335596
243,[6635.8794],849.4085,[5786.4707],0.0050223996,0.05220964773302166
244,[6644.369],867.3771,[5776.992],0.0050223996,0.05221844413427017
245,[6593.886],826.33655,[5767.55],0.0050223996,0.052227238279395856
246,[6608.997],850.87415,[5758.123],0.0050223996,0.05223603017163875
247,[6596.3726],847.6504,[5748.722],0.0050223996,0.052244819813818406
248,[6550.5557],811.2101,[5739.3457],0.0050223996,0.05225360720887177
249,[6544.073],814.08826,[5729.985],0.0050223996,0.05226239235978117
250,[6605.631],885.0022,[5720.629],0.0050223996,0.05227117526873658
251,[6563.825],852.52234,[5711.3027],0.0050223996,0.05227995593764767
252,[6546.118],844.11053,[5702.008],0.0050223996,0.05228873436822357
253,[6535.514],842.7774,[5692.737],0.0050223996,0.052297510562469375
254,[6510.543],827.07214,[5683.4707],0.0050223996,0.052306284522153135
255,[6523.7407],849.50916,[5674.2314],0.0050223996,0.052315056249384324
256,[6529.137],864.0922,[5665.045],0.0050223996,0.05232382574673117
257,[6488.174],832.2625,[5655.911],0.0050223996,0.05233259301706554
258,[6471.7407],824.94055,[5646.8003],0.0050223996,0.052341358063211905
259,[6507.9883],870.28937,[5637.6987],0.0050223996,0.05235012088793562
260,[6490.0156],861.40204,[5628.6133],0.0050223996,0.05235888149320435
261,[6459.0254],839.464,[5619.5615],0.0050223996,0.05236763988127246
262,[6436.702],826.1745,[5610.5273],0.0050223996,0.052376396054296254
263,[6418.5503],817.0387,[5601.5117],0.0050223996,0.05238515001484956
264,[6415.9688],823.4597,[5592.509],0.0050223996,0.05239390176528835
265,[6431.8115],848.27954,[5583.532],0.0050223996,0.05240265130869387
266,[6414.955],840.35876,[5574.5967],0.0050223996,0.05241139864787972
267,[6394.8755],829.1982,[5565.6772],0.0050223996,0.05242014378545778
268,[6388.541],831.76794,[5556.7734],0.0050223996,0.05242888672324481
269,[6400.635],852.7489,[5547.886],0.0050223996,0.052437627462861784
270,[6386.421],847.38306,[5539.0376],0.0050223996,0.05244636600566094
271,[6373.9473],843.7324,[5530.215],0.0050223996,0.05245510235332673
272,[6393.532],872.08417,[5521.4478],0.0050223996,0.052463836508591655
273,[6362.8057],850.0985,[5512.707],0.0050223996,0.052472568473909964
274,[6328.279],824.2952,[5503.9834],0.0050223996,0.05248129825249642
275,[6325.056],829.7907,[5495.2656],0.0050223996,0.05249002584693593
276,[6350.4556],863.87524,[5486.58],0.0050223996,0.05249875126046027
277,[6314.812],836.8892,[5477.923],0.0050223996,0.05250747449538064
278,[6304.3945],835.114,[5469.2803],0.0050223996,0.05251619555423641
279,[6293.7803],833.1317,[5460.6484],0.0050223996,0.052524914439298756
280,[6279.256],827.2283,[5452.0273],0.0050223996,0.052533631152848995
281,[6327.4316],884.01184,[5443.42],0.0050223996,0.052542345696838924
282,[6286.007],851.1432,[5434.864],0.0050223996,0.05255105807366111
283,[6293.278],866.92554,[5426.352],0.0050223996,0.05255976828556236
284,[6254.918],837.04596,[5417.872],0.0050223996,0.05256847633432653
285,[6248.113],838.7195,[5409.3936],0.0050223996,0.052577182221439187
286,[6273.986],873.0604,[5400.9253],0.0050223996,0.05258588594839668
287,[6236.528],844.02563,[5392.502],0.0050223996,0.05259458751721872
288,[6222.387],838.28577,[5384.1016],0.0050223996,0.052603286930036464
289,[6203.2324],827.51544,[5375.717],0.0050223996,0.05261198418930067
290,[6204.275],836.9335,[5367.3413],0.0050223996,0.05262067929773396
291,[6190.2393],831.26373,[5358.9756],0.0050223996,0.05262937225774908
292,[6195.4873],844.84955,[5350.638],0.0050223996,0.052638063072121946
293,[6189.2207],846.90186,[5342.319],0.0050223996,0.05264675174306867
294,[6160.3193],826.28516,[5334.034],0.0050223996,0.05265543827352137
295,[6171.266],845.4689,[5325.7974],0.0050223996,0.052664122666792205
296,[6171.564],853.9629,[5317.601],0.0050223996,0.05267280492619697
297,[6158.8945],849.46106,[5309.4336],0.0050223996,0.052681485055342675
298,[6134.5337],833.24255,[5301.291],0.0050223996,0.052690163057291656
299,[6149.5713],856.40826,[5293.163],0.0050223996,0.05269883893536682
300,[6131.052],845.99023,[5285.0615],0.0050223996,0.0527075126925419
301,[6114.824],837.83344,[5276.9907],0.0050223996,0.052716184331673285
302,[6109.5645],840.63074,[5268.9336],0.0050223996,0.0527248538550655
303,[6109.5576],848.66223,[5260.8955],0.0050223996,0.05273352126500484
304,[6099.8994],847.014,[5252.8853],0.0050223996,0.05274218656407503
305,[6065.171],820.2705,[5244.9004],0.0050223996,0.05275084975473188
306,[6105.0566],868.12177,[5236.935],0.0050223996,0.05275951083997689
307,[6071.382],842.42035,[5228.9614],0.0050223996,0.05276816982090635
308,[6062.929],841.9347,[5220.9946],0.0050223996,0.05277682669880897
309,[6023.964],810.9251,[5213.039],0.0050223996,0.05278548147483936
310,[6038.2617],833.1549,[5205.107],0.0050223996,0.05279413415099393
311,[6032.327],835.1282,[5197.1987],0.0050223996,0.052802784729227864
312,[6008.128],818.80334,[5189.324],0.0050223996,0.05281143321209167
313,[6014.1235],832.6603,[5181.4634],0.0050223996,0.052820079602564365
314,[5989.0522],815.42914,[5173.623],0.0050223996,0.05282872390336055
